(1, 2, 490),
(1, 264, 339),
(2, 1, 123),
(2, 3, 447),
(2, 265, 327),
(3, 2, 440),
(3, 4, 213),
(4, 3, 189),
(4, 5, 444),
(4, 246, 351),
(5, 4, 366),
(5, 6, 400),
(6, 5, 105),
(6, 7, 457),
(6, 86, 483),
(6, 336, 389),
(7, 6, 389),
(7, 8, 513),
(8, 7, 318),
(8, 9, 228),
(8, 204, 347),
(9, 8, 109),
(9, 10, 420),
(9, 133, 246),
(10, 9, 262),
(10, 11, 271),
(10, 38, 145),
(11, 10, 365),
(11, 12, 200),
(11, 73, 407),
(11, 178, 461),
(12, 11, 258),
(12, 13, 133),
(13, 12, 520),
(13, 14, 424),
(13, 92, 459),
(14, 13, 296),
(14, 15, 347),
(15, 14, 550),
(15, 16, 493),
(15, 279, 321),
(16, 15, 339),
(16, 17, 249),
(17, 16, 304),
(17, 18, 371),
(18, 17, 184),
(18, 19, 105),
(18, 231, 191),
(19, 18, 133),
(19, 20, 316),
(20, 19, 512),
(20, 21, 249),
(21, 20, 514),
(21, 22, 220),
(22, 21, 577),
(22, 23, 252),
(23, 22, 281),
(23, 24, 595),
(24, 23, 208),
(24, 25, 213),
(25, 24, 164),
(25, 26, 306),
(26, 25, 484),
(27, 28, 362),
(27, 365, 133),
(28, 27, 409),
(28, 29, 201),
(29, 28, 110),
(29, 30, 574),
(30, 29, 362),
(30, 31, 436),
(31, 30, 567),
(31, 32, 116),
(31, 286, 458),
(31, 287, 551),
(32, 31, 582),
(32, 33, 123),
(33, 32, 369),
(33, 34, 305),
(34, 33, 294),
(34, 35, 180),
(34, 219, 143),
(35, 34, 584),
(35, 36, 580),
(35, 95, 452),
(35, 308, 381),
(35, 410, 288),
(36, 35, 404),
(36, 37, 382),
(37, 36, 289),
(37, 38, 554),
(37, 132, 438),
(37, 177, 535),
(38, 37, 261),
(38, 39, 277),
(38, 10, 498),
(39, 38, 254),
(39, 40, 592),
(39, 109, 345),
(39, 152, 247),
(40, 39, 423),
(40, 41, 446),
(40, 89, 537),
(41, 40, 314),
(41, 42, 266),
(41, 274, 184),
(42, 41, 290),
(42, 43, 404),
(43, 42, 528),
(43, 44, 183),
(44, 43, 345),
(44, 45, 209),
(44, 237, 297),
(45, 44, 313),
(45, 46, 318),
(46, 45, 409),
(46, 47, 421),
(46, 348, 302),
(47, 46, 348),
(47, 48, 290),
(48, 47, 168),
(48, 49, 254),
(49, 48, 253),
(49, 50, 527),
(49, 217, 266),
(50, 49, 214),
(51, 52, 548),
(52, 51, 443),
(52, 53, 410),
(53, 52, 221),
(53, 54, 229),
(53, 326, 131),
(54, 53, 124),
(54, 55, 450),
(55, 54, 414),
(55, 56, 587),
(56, 55, 568),
(56, 57, 142),
(57, 56, 289),
(57, 58, 121),
(58, 57, 485),
(58, 59, 176),
(58, 85, 268),
(58, 227, 133),
(58, 313, 456),
(59, 58, 309),
(59, 60, 386),
(59, 312, 443),
(60, 59, 513),
(60, 61, 257),
(60, 154, 231),
(61, 60, 243),
(61, 62, 425),
(61, 76, 524),
(61, 93, 100),
(62, 61, 386),
(62, 63, 127),
(63, 62, 547),
(63, 64, 589),
(63, 73, 101),
(63, 178, 312),
(64, 63, 493),
(64, 65, 549),
(65, 64, 426),
(65, 66, 140),
(65, 87, 237),
(65, 205, 123),
(65, 337, 557),
(65, 406, 358),
(66, 65, 353),
(66, 67, 550),
(67, 66, 530),
(67, 68, 322),
(67, 245, 177),
(67, 371, 541),
(68, 67, 103),
(68, 69, 544),
(69, 68, 316),
(69, 70, 250),
(69, 266, 451),
(70, 69, 380),
(70, 71, 259),
(71, 70, 263),
(71, 72, 274),
(72, 71, 362),
(73, 74, 582),
(73, 11, 551),
(73, 63, 175),
(74, 73, 459),
(74, 75, 543),
(75, 74, 476),
(75, 76, 213),
(76, 75, 229),
(76, 77, 252),
(76, 61, 290),
(76, 93, 302),
(77, 76, 397),
(77, 78, 425),
(77, 153, 455),
(77, 223, 219),
(78, 77, 308),
(78, 79, 127),
(78, 411, 247),
(79, 78, 268),
(79, 80, 110),
(80, 79, 316),
(80, 81, 309),
(80, 280, 277),
(80, 412, 192),
(81, 80, 390),
(81, 82, 189),
(81, 311, 442),
(82, 81, 579),
(82, 83, 371),
(83, 82, 410),
(83, 84, 141),
(84, 83, 473),
(84, 85, 313),
(85, 84, 279),
(85, 58, 262),
(85, 227, 549),
(85, 313, 468),
(86, 87, 398),
(86, 6, 207),
(86, 336, 394),
(87, 86, 213),
(87, 88, 313),
(87, 65, 177),
(87, 205, 199),
(87, 337, 251),
(87, 406, 283),
(88, 87, 513),
(88, 89, 357),
(88, 135, 565),
(88, 151, 350),
(89, 88, 324),
(89, 90, 109),
(89, 40, 177),
(90, 89, 289),
(90, 91, 345),
(90, 180, 236),
(91, 90, 247),
(91, 92, 452),
(91, 110, 457),
(92, 91, 543),
(92, 93, 130),
(92, 13, 200),
(93, 92, 532),
